Empresa,Ciudad,Departamento,Telefono,Direccion,Actividad
Agroganaderos Del Valle Sas,CALI,VALLE,(2)4891651,CARRERA 100 11 90 TO FARALLONES HOLGUINES OF 709 Cómo llegar,Cria de ganado porcino
Autogestion Cta,VALLE,CARRERA 33 22 22 Cómo llegar,TULUA,9003355874,ORGANIZACION DE ECONOMIA SOLIDARIA
Sinefi Sas,BOGOTA,BOGOTA,(1)6165520,CALLE 95 11 A 37 OF 307 EDIFICIO OXFORD CENTER Cómo llegar,Cultivo de arroz
Pro Oriente S A S,BOGOTA,BOGOTA,(1)6575855,CALLE 116 7 15 IN 2 PI 17 Cómo llegar,Silvicultura y otras actividades forestales
Inversiones Maraiba S A S,MEDELLIN,ANTIOQUIA,(4)2040338,CALLE 43 A 16 A SUR 38 OF 803 Cómo llegar,Cultivo de platano y banano
Super Porki S A S,GIRARDOTA,ANTIOQUIA,3122235378,VEREDA JUAN COJO FCA EL MAGUEY MANANTIALES Cómo llegar,Cria de ganado porcino
Gonavi S A S,CALI,VALLE,3164825073,CALLE 38 A NTE 4 11 BARRIO LA FLORA Cómo llegar,Cria de aves de corral
Corredor Lopez S A S,BOGOTA,BOGOTA,(1)6370365,CALLE 112 N 47 A 97 Cómo llegar,Cria de ganado porcino
Teo Farms S A S,BOGOTA,BOGOTA,(1)8573472,AVENIDA SUBA 106 A 28 OF 302 Cómo llegar,Cultivo de flor de corte
Banhamburgo S A S,SANTA MARTA,MAGDALENA,(5)4212847,CALLE 24 3 99 ED BANCO DE BOGOTA OF 1501 Cómo llegar,Cultivo de platano y banano
Inversiones Sinai S A S,MEDELLIN,ANTIOQUIA,3174049701,CALLE 10 42 45 OFICINA 513 EDIFICIO LA PLAZA DEL POBLADO Cómo llegar,Cria de ganado bovino y bufalino
Asociacion De Usuarios Del Distrito De Adecuacion De Tierras De Gran Escala Del Rio Zulia,CUCUTA,NORTE SANTANDER,(7)5829575,VEREDA LA FLORESTA CORREGIMIENTO DE BUENA ESPERANZA Cómo llegar,Explotacion mixta (agricola y pecuaria)
Perez Parra Carnes La Hacienda S A S,IBAGUE,TOLIMA,3176361055,CALLE 21 4 52 58 Cómo llegar,Cria de ganado bovino y bufalino
Comercial Floresta S A S,BOGOTA,BOGOTA,(1)3003410,CALLE 100 8 A 37 TO A OF 806 Cómo llegar,Cria de ganado porcino
La Corsaria S A S,BOGOTA,BOGOTA,(1)6725806,CALLE 98 70 91 OFICINA 605 Cómo llegar,Cultivo de especias y de plantas aromaticas y medicinales
Coralce Sas,SANTANDER DE QUILICHAO,CAUCA,3163091962,CALLE 5 20 83 BRR MORALES DUQUE Cómo llegar,Cultivo de caña de azucar
Inverbosques S A,ENVIGADO,ANTIOQUIA,(4)3221348,CALLE 26 SUR 22 27 Cómo llegar,Silvicultura y otras actividades forestales
Comercializadora Sicomoro S A S,BOGOTA,BOGOTA,(1)2869131,CARRERA 7 93 A 35 TO A AP 605 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Huevo Delicias Group S A S,MEDELLIN,ANTIOQUIA,(4)5577468,CALLE 50 B 39 10 Cómo llegar,Cria de aves de corral
Grupo Megag S A S,BOGOTA,BOGOTA,(1)7954680,CALLE 81 19 A 31 Cómo llegar,Actividades de apoyo a la agricultura
Cooperativa De Palmicultores Del Magdalena Medio,BUCARAMANGA,SANTANDER,(7)6849253,CALLE 36 21 67 OFICINA 102 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Ecologic S A S,BOGOTA,BOGOTA,(1)6047279,CARRERA 45A 104B 16 Cómo llegar,Silvicultura y otras actividades forestales
El Roble Agricola S A,SANTA MARTA,MAGDALENA,(5)4210147,CALLE 23 4 27 PISO 11 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agricola Bahamas S A S,MEDELLIN,ANTIOQUIA,(4)4440009,CARRERA 43 A 19 17 INT 1206 Cómo llegar,Cultivo de platano y banano
Finca Cibeles S A,BARRANQUILLA,ATLANTICO,(5)3581226,CARRERA 53 82 86 OF 202 ED Cómo llegar,Cultivo de platano y banano
Vitaovo S A S,PEREIRA,RISARALDA,3105392020,VIA FLORIDA VEREDA LA BANANERA GRANJA LA MARIANA KM 8 Cómo llegar,Cria de aves de corral
Union Piscicola La Esmeralda S A S,NEIVA,HUILA,(8)8632235,CARRERA 5 10 49 OFICINA 501 EDIFICIO PLAZA REAL BARRIO EL CENTRO Cómo llegar,Acuicultura de agua dulce
Country Fresh S A S,BOGOTA,BOGOTA,(1)8606512,CARRERA 7 75 66 OFICINA 702 Cómo llegar,Cultivo de especias y de plantas aromaticas y medicinales
Hillside Flowers Sas,BOGOTA,BOGOTA,(1)2566016,CARRERA 55 152 B 68 OF 1001 Cómo llegar,Cultivo de flor de corte
Agricola Esperanza S A S,BOGOTA,BOGOTA,(1)6231799,CARRERA 13 93 24 Cómo llegar,Cultivo de arroz
Ganaderia Brisas De Agualinda S C A,BOGOTA,BOGOTA,(1)3589690,CALLE 105 14 92 OFICNA 608 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Reforestadora El Guasimo S A S,ENVIGADO,ANTIOQUIA,(4)6040433,CARRERA 27 35 SUR 162 OF 343 Cómo llegar,Extraccion de madera
Agropecuarias Bombona S A,NEIVA,HUILA,(8)8715233,CARRERA 5 13 19 OFICINA 208 Cómo llegar,Cultivo de arroz
Comercializadora Chamorro Y Rendon Ltda,CANDELARIA,VALLE,(2)3385533,LUGAR KM 11 VIA CALI CANDELARIA CGTO EL CARMELO BG 8 LC 31 32 33 Cómo llegar,Cultivo de hortalizas raices y tuberculos
Agricola Yumana S A S,MEDELLIN,ANTIOQUIA,(4)4085042,CALLE 18 CR 35 69 INTERIOR 353 Cómo llegar,Cultivo de platano y banano
Agroavicola Italia S A S,BOGOTA,BOGOTA,(1)6236105,CALLE 94 A 11 A 73 P 3 Cómo llegar,Explotacion mixta (agricola y pecuaria)
G A Cadena Lopez Y Compania S C S,PALMIRA,VALLE,(2)2716468,CARRERA 39 T 23 87 BARRIO SANTA BARBARA Cómo llegar,Cultivo de caña de azucar
Cerpalmas S A S,MANIZALES,CALDAS,3206448166,CARRERA 23 18 10 Cómo llegar,Cria de ganado porcino
Ganados Monterrey S A,MEDELLIN,ANTIOQUIA,(4)2319404,TRANSVERSAL 49 C 59 110 Cómo llegar,Cria de ganado bovino y bufalino
Agroavicola La Fortaleza Sas,ZIPAQUIRA,CUNDINAMARCA,3124498853,CALLE 7 10 18 OF 301 Cómo llegar,Cria de aves de corral
Espacio Agropecuario S A S,GUARNE,ANTIOQUIA,(4)4019818,AUTOPISTA MEDELLIN BOGOTA KM 23 PARQUE INDUSTRIAL ROSENDAL BODEGA Cómo llegar,Otros cultivos transitorios n c p
Agropecuaria Llano Verde S A,APARTADO,ANTIOQUIA,(4)2304345,CARRERA 99 97 56 Cómo llegar,Cultivo de platano y banano
Agroganaderia Jj San Luis S A S,MONTERIA,CORDOBA,3108988136,CARRERA 6 N 62 B 32 OF 409 ED SEXTA AVENIDA Cómo llegar,Cria de ganado bovino y bufalino
Comercializadora Productiva De Colombia Sas,BUGA,VALLE,(2)2288244,CARRERA 15 6 33 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Plantaciones Rio Grande S A S Zomac,APARTADO,ANTIOQUIA,(4)8280699,LUGAR KM 5 VIA APARTADO CAREPA SECTOR CHURIDO PUENTE Cómo llegar,Cultivo de platano y banano
Productos Agricolas De Exportacion Agrodex S A S,BOGOTA,BOGOTA,(1)6220020,CALLE 100 19 A 50 OF 405 Cómo llegar,Propagacion de plantas (actividades de los viveros excepto viveros forestales)
Buenavista Flowers Sociedad Por Acciones Simplificada,CARMEN DE VIBORAL,ANTIOQUIA,(4)3527019,VEREDA MAZORCAL Cómo llegar,Cultivo de flor de corte
Lebel S A S,CARTAGENA,BOLIVAR,3145968860,CARRERA 8 5 34 APTO 1601 CASTILLOGRANDE BARRIO CASTILLOGRANDE Cómo llegar,Explotacion mixta (agricola y pecuaria)
Avicola El Palmar S A,SAN PEDRO,VALLE,3113397202,VEREDA MONTEGRANDE Cómo llegar,Cria de aves de corral
Agropecuaria Y Comercializadora Del Meta S A,BOGOTA,BOGOTA,(1)6919932,CARRERA 15 79 76 OF 301 Cómo llegar,Cultivo de cereales (excepto arroz) legumbres y semillas oleaginosas
Inversiones Lera Sas,BOGOTA,BOGOTA,(1)7040176,CALLE 35 SUR 70 B 41 Cómo llegar,Cultivo de frutas tropicales y subtropicales
Vivero Marinela S A S,PALMIRA,VALLE,3154947609,CALLE 42 KM 1 VIA PALMIRA CALI Cómo llegar,Propagacion de plantas (actividades de los viveros excepto viveros forestales)
Orofrut S A S,MEDELLIN,ANTIOQUIA,(4)4121090,TRANSVERSAL 39 72 90 OF 204 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Palmeras Del Carmen S A,BOGOTA,BOGOTA,(1)5202709,CALLE 94 11 A 76 OF 103 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agricola Las Antillas Sas,MEDELLIN,ANTIOQUIA,(4)4440009,CARRERA 43 A 19 17 P 12 Cómo llegar,Cultivo de platano y banano
Aportes San Isidro S Asi S A S,BARRANQUILLA,ATLANTICO,(5)3535188,CARRERA 58 72 26 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Porcicola La Galicia S A S,ENVIGADO,ANTIOQUIA,3113158954,CARRERA 27 A 37 SUR 80 IN 130 Cómo llegar,Cria de ganado porcino
Agropecuaria La Montanita S A S,BELLO,ANTIOQUIA,(4)3227020,CALLE 50 47 80 Cómo llegar,Cria de ganado bovino y bufalino
Hersal Saldarriaga Y Compania S C A,MEDELLIN,ANTIOQUIA,(4)3417600,CARRERA 74 28 29 Cómo llegar,Cria de ganado bovino y bufalino
Castordelbe S A S,FLORIDABLANCA,SANTANDER,3182617135,CALLE 35 B 22 C 27 OFICINA 502 BARRIO CAÑAVERAL Cómo llegar,Explotacion mixta (agricola y pecuaria)
Terrazas Agropecuarias S A S,ANSERMANUEVO,VALLE,3186184372,LUGAR KM 2 VIA ANSERMANUEVO CRR ANACARO BAJO EL ANTIGUO PUENTE Cómo llegar,Cria de ganado porcino
Caicedo Munoz S A S,POPAYAN,CAUCA,3207272670,CALLE 2 5 48 Cómo llegar,Otros cultivos transitorios n c p
Garlema S A,CONCORDIA,ANTIOQUIA,(4)8446198,CARRERA 19 20 72 Cómo llegar,Cria de ganado bovino y bufalino
Promotora Agricola De Los Llanos Sucursal Colombia,BOGOTA,BOGOTA,(1)5112000,CALLE 110 9 25 OFICINA 713 Cómo llegar,Actividades de apoyo a la agricultura
Empresa Colombiana De Palma S A S,BOGOTA,BOGOTA,(1)6084581,CALLE 109 18 C 17 OF 615 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Cooperativa De Productores Lecheros De Guatavita,GUATAVITA,CUNDINAMARCA,3103298768,VEREDA GUANDITA Cómo llegar,Actividades de apoyo a la ganaderia
Avicola Junior Santamaria S A S,LOS PATIOS,NORTE SANTANDER,(7)5556110,MANZANA MZ 22 LOTE 308 Cómo llegar,Cria de aves de corral
Agroinversiones Osorio Lopez S A S,ITAGUI,ANTIOQUIA,(4)2854725,CALLE 78 46 112 BL 13 LC 41 Cómo llegar,Otros cultivos permanentes n c p
Exportadores Bananeros De Colombia S A S,SANTA MARTA,MAGDALENA,(5)4215217,CARRERA 2 B 14 21 OFICINA902 ED DE LOS BANCO Cómo llegar,Cultivo de platano y banano
Paninversiones S A,MEDELLIN,ANTIOQUIA,3155121407,CARRERA 43 A 19 127 PISO 6 EDIFICIO RECIFE Cómo llegar,Cultivo de platano y banano
Avicola Veneciana S A,ITAGUI,ANTIOQUIA,3168748281,CALLE 85 48 01 IN 29 032 Cómo llegar,Cria de aves de corral
Ganados Y Porcinos S A S,SABANETA,ANTIOQUIA,(4)3014242,CALLE 79 SUR 47 E 10 Cómo llegar,Cria de ganado porcino
Lacso S A S,SANTA MARTA,MAGDALENA,3157513829,VIA GAIRA KILOMETRO 5 Cómo llegar,Cultivo de arroz
Jota Uribe Ce Sociedad Por Acciones Simplificada,MEDELLIN,ANTIOQUIA,(4)4211017,CARRERA 80 52 B49 Cómo llegar,Cria de ganado bovino y bufalino
Compania Aeroagricola De Los Llanos S A S,GIRARDOT,CUNDINAMARCA,(1)8311144,CARRERA 7 29 15 15 Cómo llegar,Actividades de apoyo a la agricultura
Agroindustria Feleda S A,BUCARAMANGA,SANTANDER,(7)6707376,CALLE 37 15 25 OFICINA 404 CENTRO Cómo llegar,Actividades de apoyo a la agricultura
Compania Santana S A S,MEDELLIN,ANTIOQUIA,(4)4805023,CARRERA 43 A 16 A SUR 38 OF 1001 Cómo llegar,Cultivo de platano y banano
Yarigui S A,BUCARAMANGA,SANTANDER,3214066474,CARRERA 29 45 94 OF 903 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agricola Terra S A S,BOGOTA,BOGOTA,(1)6294541,CARRERA 7 113 43 OF 806 Cómo llegar,Cultivo de arroz
Agropecuaria La Ceja S A S,APARTADO,ANTIOQUIA,(4)8280873,CALLE 100 A 96 83 Cómo llegar,Cultivo de platano y banano
Agropecuaria La Gota S A S,MEDELLIN,ANTIOQUIA,(4)2626740,CARRERA 43 36 39 OF 412 ED CENTRO 2000 Cómo llegar,Cultivo de platano y banano
Agropecuaria Y Movilidad S A S,BARANOA,ATLANTICO,3008030913,TRANSVERSAL 25 16 D 54 20 DE JULIO Cómo llegar,Cria de ganado porcino
Seixgar S A,TULUA,VALLE,(2)6615107,CARRERA 25 27 50 OFICINA 212 Cómo llegar,Cultivo de caña de azucar
La Porchetta S A S,BARANOA,ATLANTICO,(5)8787840,TRANSVERSAL 21 12 31 Cómo llegar,Cria de ganado porcino
Industria Agricola Y Pecuaria Del Interior Ltda,BOGOTA,BOGOTA,(1)6554300,CARRERA 9 84 40 APTO 401 Cómo llegar,Cultivo de arroz
Sagra S A S,BOGOTA,BOGOTA,(1)6854271,CALLE 86 N 8 38 OF 202 Cómo llegar,Cultivo de especias y de plantas aromaticas y medicinales
Dfl Servicios Agricolas S A S,PALMIRA,VALLE,(2)2855550,CALLE 35 29 47 APTO 301 Cómo llegar,Actividades de apoyo a la agricultura
Agromeseta S A,MEDELLIN,ANTIOQUIA,(4)3224740,CARRERA 29 C 10 C 125 ED SELECT OF 301 Cómo llegar,Cria de ganado porcino
Cultivos San Jose Ltda,BOGOTA,BOGOTA,(1)6101120,CARRERA 11 A 90 15 OF 305 Cómo llegar,Cultivo de arroz
Agripalma S A S,COTA,CUNDINAMARCA,(1)8767172,CALLE 14 A 2 49 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Inversiones Agricolas Eva S A S,SANTA MARTA,MAGDALENA,(5)4329900,VIA CARR TRONCAL DEL CARIBE KM 2 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Agropecuaria El Gran Rodeo S A S,BOGOTA,BOGOTA,(1)7284084,AUTOPISTA SUR 66 78 LOCAL C 03 Cómo llegar,Cria de ganado bovino y bufalino
Agrocolexport S A S,BOGOTA,BOGOTA,(1)7102184,AUTOPISTA SUR 66 78 OF 115 Cómo llegar,Cria de ganado bovino y bufalino
Cooperativa De Trabajo Asociado Agrovarsovia,RISARALDA,AVENIDA SIMON BOLIVAR 79 33 LA ROMERI DOS QUEBRADAS Cómo llegar,RISARALDA,8160055511,ORGANIZACION DE ECONOMIA SOLIDARIA
Inversiones Agrolorica S A S,MEDELLIN,ANTIOQUIA,(4)2661890,CARRERA 43 A 14 109 OF 204 ED NOVA TEMPO Cómo llegar,Actividades de apoyo a la agricultura
Best Amazon Export Fish S A S,BOGOTA,BOGOTA,(1)5470861,CARRERA 76 65 A 69 Cómo llegar,Pesca maritima
Fertilizantes Liquidos Y Servicios Sas,CALI,VALLE,3108462421,CALLE 38 NTE 5 N 31 P 2 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Imp Agro S A S,YUMBO,VALLE,(2)4881818,CARRERA 29 B 11 90 ACOPI Cómo llegar,Cria de ganado porcino
Mariu Tropical S A S,MEDELLIN,ANTIOQUIA,(4)2501023,AVENIDA 33 75 C 145 Cómo llegar,Actividades de apoyo a la agricultura
Inversiones Agropecuarias Del Caribe Inacar S A,SANTA MARTA,MAGDALENA,(5)4225789,CARRERA 1 A 26 18 EDF TORRE MARINA 1 OFICINA 201 Cómo llegar,Explotacion mixta (agricola y pecuaria)
Porcicola S J S A S,MEDELLIN,ANTIOQUIA,(4)4797306,CALLE 37 B 84 A 63 Cómo llegar,Cria de ganado porcino
Flores La Aldea S A S,BOGOTA,BOGOTA,(1)6129811,CALLE 117 6 56 Cómo llegar,Cultivo de flor de corte
Censer Jhon Ruiz Sas,BARRANCA DE UPIA,META,(8)6236579,CALLE 11 5 48 Cómo llegar,Actividades de apoyo a la agricultura
Palmas Del Guariamena Sociedad Por Acciones Simplificada,MANI,CASANARE,(8)3363019,CARRERA 4 15 20 Cómo llegar,Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos
Hacienda Primavera S A S,BOGOTA,BOGOTA,(1)7428970,CALLE 127 14 54 OF 311 Cómo llegar,Actividades de apoyo a la agricultura
Novara S A S,CALI,VALLE,3174411075,CALLE 9 5 34 BARRIO SAN PEDRO Cómo llegar,Explotacion mixta (agricola y pecuaria)
Agricola Uberaba S A,MEDELLIN,ANTIOQUIA,(4)5115540,CALLE 52 47 42 PISO 15 Cómo llegar,Cultivo de frutas tropicales y subtropicales
Funglus S A S,MEDELLIN,ANTIOQUIA,(4)5380430,CARRERA 37 ES CALLE 11 344 VIA PAYSANDU Cómo llegar,Cultivo de hortalizas raices y tuberculos
Agropecuaria Posada Y Cuartas Y Compania S A S,MEDELLIN,ANTIOQUIA,(4)2684904,CALLE 42 A 68 A 28 Cómo llegar,Otros cultivos transitorios n c p
Inversiones Villazon Gutierrez Y Compania S C A,VALLEDUPAR,CESAR,(5)5747540,CALLE 12 8 42 OF 217 Cómo llegar,Cria de ganado bovino y bufalino
Plantacion Santisimo S A S,ENVIGADO,ANTIOQUIA,3176404170,CALLE 25 SUR 5 31 OF 202 Cómo llegar,Cultivo de platano y banano
Gran Pacifico Azul Y Compania S En C S,CALI,VALLE,(2)3355543,CALLE 23 32 14 Cómo llegar,Acuicultura maritima
R Y M Ingenieria S A S,VILLAVICENCIO,META,(8)6709316,CALLE 38 31 58 OFICINA 408 Cómo llegar,Silvicultura y otras actividades forestales
Comercializadora Internacional Global Exchange S A S,LA CEJA,ANTIOQUIA,(4)5681879,VEREDA LAS LOMITAS KM3 Cómo llegar,Cultivo de flor de corte
Empresa Unipersonal Piscicola Canada E U,NEIVA,HUILA,(8)8713442,CALLE 7 1 07 BARRIO EL CENTRO Cómo llegar,Acuicultura de agua dulce
Cultivos Y Potreros De La Costa Ltda,CERETE,CORDOBA,(4)7638980,CALLE 7 CR 4 40 BRR PABLO VI Cómo llegar,Otros cultivos transitorios n c p
Agroganadera Montenegro S A,MEDELLIN,ANTIOQUIA,(4)3220681,CARRERA 52 67 A 91 Cómo llegar,Cria de ganado bovino y bufalino
Agropecuaria Del Abibe Agroabibe S A,BOGOTA,BOGOTA,(1)6760392,CARRERA 3 56 19 Cómo llegar,Cultivo de frutas tropicales y subtropicales
Forestry Consulting Group S A S,MEDELLIN,ANTIOQUIA,3016604868,CARRERA 81 6 A 51 IN 1701 ED PIAMONTE Cómo llegar,Servicios de apoyo a la silvicultura
Inversiones Avifom S A S,FOMEQUE,CUNDINAMARCA,(1)8485422,VEREDA RESGUARDO Cómo llegar,Cria de aves de corral
Agro Maca Sm S A S,PALMIRA,VALLE,(2)2855577,DIAGONAL 28 B 56 15 OFICINA Cómo llegar,Cria de ganado porcino
Grupo San Juanito Sas,CALI,VALLE,3183516244,CALLE 22 NTE 6 A 24 Cómo llegar,Cria de ganado bovino y bufalino
Sociedad Benaya S A S,PEREIRA,RISARALDA,3041452005,LUGAR ENTRADA 4 VIA CERRITOS URBANIZACION QUIMBAYITA FINCA VILLA JULI Cómo llegar,Cria de ganado bovino y bufalino
Arrocera Potrerito S A S,IBAGUE,TOLIMA,(8)2690269,FINCA CAUCHITOS Cómo llegar,Cultivo de arroz
Construcciones Y Fincas Sociedad Por Acciones Simplificada,MEDELLIN,ANTIOQUIA,(4)2665050,CALLE 6 SUR 43 A 180 Cómo llegar,Explotacion mixta (agricola y pecuaria)
A V Colombia S A S,MONTERIA,CORDOBA,3188247231,CARRERA 6 62 B 32 Cómo llegar,Cultivo de frutas tropicales y subtropicales
Covitran S A S,BARRANCA DE UPIA,META,3142188587,CARRERA 5 4 B 20 BARRIO EL PRADO Cómo llegar,Actividades de apoyo a la agricultura
Inversiones Zuri S A S,VILLAVICENCIO,META,3114657598,CALLE 15 3 67 BRR QUINTAS DE MORELIA Cómo llegar,Cria de ganado bovino y bufalino
Flores De La Montana S Monteflor S A S,LA CEJA,ANTIOQUIA,3117713563,VEREDA EL TAMBO Cómo llegar,Cultivo de flor de corte
Vame S A S,BOGOTA,BOGOTA,(1)2509321,CALLE 74 N 65 B 20 Cómo llegar,Explotacion mixta (agricola y pecuaria)
J Martinez S A S,BOGOTA,BOGOTA,(1)4673079,CALLE 27 20 34 Cómo llegar,Cultivo de cafe
